,GSM5444463,GSM5444460,GSM5444461,GSM5444462,GSM5444464,GSM5444465,GSM5444448,GSM5444449,GSM5444450,GSM5444451,GSM5444452,GSM5444453,GSM5444454,GSM5444455,GSM5444456,GSM5444457,GSM5444458,GSM5444459
ENSG00000202147.1,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0
ENSG00000180934.6,0,0,0,0,0,2,50,51,27,30,34,0,0,0,0,1,0,0
ENSG00000255481.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000262980.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000234895.1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0
ENSG00000180919.3,0,0,22,2,0,3,0,5,7,0,3,0,0,0,0,0,0,0
ENSG00000254444.1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
ENSG00000180913.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180909.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255307.1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175485.2,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0
